"country_name","country_code","year","sdg_overall","spi_comp","sci_overall","di_score","regime_type_2","regime_type_4","regch_event","aut_ep","dem_ep","elect_dem","lib_dem","part_dem","delib_dem","egal_dem","academ_free","income_level","income_level_lab","gdp_pc","log_gdppc","gini","population","p1_use","p2_services","p3_products","p4_sources","p5_infra","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal13","goal14","goal15","goal16","goal17"
"Afghanistan","AFG",2004,35.6535228715729,NA,24.44444444,NA,0,1,0,0,1,0.24,0.105,0.109,0.255,0.161,0.554,"L","Low Income Countries",221.7636539,5.40161219268759,NA,24726689,20,NA,NA,NA,NA,9.7735,31.4242857142857,21.5762857142857,1.633,17.6925,15.5418,26.76325,44.3758571428571,5.00542857142857,NA,32.805,95.6038571428572,98.4163333333333,NA,56.1488,42.0545454545455,35.9884
"Afghanistan","AFG",2005,36.1178119191919,NA,31.11111111,NA,0,1,0,0,1,0.339,0.132,0.138,0.298,0.212,0.554,"L","Low Income Countries",254.1842491,5.53805939420774,NA,25654274,20,NA,45.0125,NA,NA,12.807,35.0651428571429,22.1803571428571,1.633,17.6925,15.4676,24.7035,44.3721428571429,5.00542857142857,NA,34.555,95.5104285714286,98.5833333333333,NA,56.1488,42.0545454545455,35.9884
"Afghanistan","AFG",2006,36.5285431890332,NA,32.22222222,3.06,0,1,0,0,1,0.402,0.224,0.161,0.334,0.24,0.554,"L","Low Income Countries",274.2185536,5.61392542931756,NA,26433058,20,NA,45.80625,NA,NA,14.022,35.419,23.9860714285714,1.633,17.6925,16.9812,26.60675,44.365,5.00542857142857,NA,33.4555,95.7982857142857,98.7716666666667,NA,56.1488,42.0545454545455,35.9884
"Afghanistan","AFG",2007,37.2218525541126,NA,34.44444444,NA,0,1,0,0,0,0.402,0.226,0.157,0.334,0.242,0.554,"L","Low Income Countries",376.223152,5.93018245670644,NA,27100542,20,NA,47.8875,NA,NA,18.3035,38.2247142857143,24.6034285714286,1.633,17.6925,19.7364,26.782,44.3712857142857,5.00542857142857,NA,33.9355,95.6652857142857,98.783,NA,56.1488,42.0545454545455,35.3884
"Afghanistan","AFG",2008,36.5999244588745,NA,45.55555556,3.02,0,1,0,0,0,0.408,0.23,0.159,0.34,0.25,0.55,"L","Low Income Countries",381.733238,5.94472203481778,NA,27722281,20,NA,50.95,NA,NA,19.1675,36.3778571428571,24.4245,1.633,17.89725,22.5208,15.952,44.3604285714286,5.00542857142857,NA,33.3935,95.4258571428571,98.877,NA,56.1488,42.0545454545455,35.7604
"Afghanistan","AFG",2009,38.2435184271284,NA,46.66666667,NA,0,1,0,0,0,0.397,0.228,0.158,0.338,0.246,0.55,"L","Low Income Countries",452.0537055,6.11380099025187,NA,28394806,20,NA,50.20625,NA,NA,25.548,40.9758571428571,29.2096428571429,1.633,17.89725,28.2326,15.8215,44.3818571428571,5.21457142857143,NA,35.113,94.8722857142857,98.8056666666667,NA,57.3132,42.0545454545455,36.5798
"Afghanistan","AFG",2010,38.3485894660895,NA,52.22222222,2.48,0,1,0,0,0,0.378,0.223,0.149,0.329,0.238,0.55,"L","Low Income Countries",560.6215055,6.32904599957178,NA,29185511,20,NA,46.65625,NA,NA,29.323,40.511,31.4207142857143,1.633,17.6925,24.9894,15.1025,44.3757142857143,7.07142857142857,NA,33.7085,94.59,96.3986666666667,NA,57.3132,46.0308181818182,35.0684
"Afghanistan","AFG",2011,38.1791251515151,NA,51.11111111,2.48,0,1,0,0,0,0.383,0.224,0.151,0.335,0.24,0.55,"L","Low Income Countries",606.6946763,6.40802566006222,NA,30117411,20,NA,47.91875,NA,NA,28.3995,38.5744285714286,29.5423571428571,1.633,17.89725,25.9046,15.558,44.3731428571429,7.21757142857143,NA,33.1045,93.656,98.319,NA,57.3132,45.8567272727273,35.3376
"Afghanistan","AFG",2012,39.2869615584416,NA,50,2.48,0,1,0,0,0,0.384,0.226,0.152,0.337,0.241,0.55,"L","Low Income Countries",651.4171345,6.4791501966104,NA,31161378,30,NA,49.16875,NA,NA,31.1765,40.1791428571429,29.3916428571428,1.633,17.89725,29.4892,23.8495,44.3697142857143,8.12814285714286,NA,35.07525,93.9535714285714,98.434,NA,57.2632,45.3299090909091,33.1344
"Afghanistan","AFG",2013,39.6570526695527,NA,53.33333333,2.48,0,1,0,0,0,0.383,0.228,0.159,0.336,0.24,0.552,"L","Low Income Countries",637.0870991,6.45690637950602,NA,32269592,30,NA,49.7375,NA,NA,31.772,39.4525714285714,30.1372857142857,1.633,18.126,32.3868,24.35125,44.3682857142857,8.18128571428572,NA,34.68825,94.4012857142857,98.4976666666667,NA,57.2632,45.3299090909091,34.267
